frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
430.6179775280899,390.0,186.0359096432957,132.0,883.0,660.5056179775281,692.0,284.3678628627231,40.0,1435.0,127708.49442998177,126252.17162778736,94314.72375035775,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
441.14606741573033,406.0,188.95196170680364,140.0,948.0,676.056179775281,692.0,294.57031588592935,295.0,1435.0,133449.68562340844,125986.6307314997,101694.92852140317,27744.415873867627,466210.58839778544,0.0,0.0,0.0,0.0,0.0
451.7191011235955,411.0,191.52123059853847,138.0,879.0,686.7528089887641,692.0,355.0862304165503,40.0,1435.0,144522.49174480577,126252.17162778736,121118.79896648164,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
435.7865168539326,404.0,206.84850190309112,134.0,916.0,656.4157303370787,690.0,334.36005651543655,40.0,1437.0,132043.80670028104,122784.39310291842,116084.27424838352,1e-05,468649.7168494554,0.0,0.0,0.0,0.0,0.0
480.35955056179773,472.0,203.77445381294558,134.0,908.0,732.6966292134831,695.0,350.20098256698964,40.0,1521.0,158085.76138011023,127424.52884335902,130968.9711380214,1e-05,517134.81782518653,0.0,0.0,0.0,0.0,0.0
490.3820224719101,472.0,184.63930860883892,136.0,876.0,738.7640449438202,694.0,363.7395358538703,40.0,1521.0,161760.2529830836,125792.6885247052,140258.13634256466,1e-05,517134.81782518653,0.0,0.0,0.0,0.0,0.0
506.1123595505618,503.0,196.75379231684897,136.0,921.0,799.4606741573034,722.0,410.54896261063567,40.0,1793.0,189902.63038322845,128860.61375454719,166327.69232385684,1e-05,695897.1396761746,0.0,0.0,0.0,0.0,0.0
470.55056179775283,463.0,196.16193787396907,132.0,858.0,744.561797752809,693.0,419.997805105452,40.0,1794.0,172432.42339525308,123969.19596538422,173061.38116742013,1e-05,698183.6738888453,0.0,0.0,0.0,0.0,0.0
441.6179775280899,406.0,202.62854184182277,132.0,883.0,731.9213483146067,693.0,433.5054455736425,40.0,1797.0,171161.86448523312,125792.6885247052,177471.12096406764,1e-05,700264.027085916,0.0,0.0,0.0,0.0,0.0
455.70786516853934,392.0,203.7119690706305,132.0,923.0,745.3370786516854,681.0,459.3133845800567,40.0,1797.0,179600.84369349503,122678.07301176354,191837.40014413,1e-05,700264.027085916,0.0,0.0,0.0,0.0,0.0
445.60674157303373,409.0,209.64012063359985,136.0,946.0,729.4719101123595,681.0,492.88969274165004,40.0,1958.0,181012.40987460237,122678.07301176354,195819.32563664415,1e-05,816681.3222145078,0.0,0.0,0.0,0.0,0.0
419.30337078651684,377.0,211.3475440374462,132.0,943.0,666.9662921348314,595.0,430.20646857683676,40.0,1958.0,149563.8072390421,90767.38351712497,174477.29365896105,1e-05,816681.3222145078,0.0,0.0,0.0,0.0,0.0
452.9887640449438,409.0,213.79931230284404,132.0,1044.0,678.8426966292135,595.0,403.79469415896295,40.0,1958.0,148023.46219281558,91121.8435118554,165096.57478976718,1e-05,816681.3222145078,0.0,0.0,0.0,0.0,0.0
488.7303370786517,411.0,218.1785560913094,132.0,1060.0,765.9775280898876,694.0,432.6359233716526,40.0,2011.0,181332.7716379368,126518.39242307254,185410.75856074397,1e-05,851357.0308835248,0.0,0.0,0.0,0.0,0.0
466.3370786516854,409.0,231.35327059755352,132.0,1279.0,768.5280898876405,691.0,480.4900843108737,40.0,2131.0,191049.2722735593,122678.07301176354,205728.80565704632,1e-05,936436.8266514152,0.0,0.0,0.0,0.0,0.0
486.55056179775283,466.0,217.91720988681212,134.0,1279.0,819.4943820224719,722.0,473.5180815596633,40.0,2131.0,208128.56895043806,127494.7736538474,203591.8621087662,1e-05,936436.8266514152,0.0,0.0,0.0,0.0,0.0
488.5730337078652,409.0,215.6235216599613,132.0,1279.0,791.0674157303371,694.0,461.21402567310463,40.0,2131.0,194868.75932979738,125792.6885247052,207060.2310531721,1e-05,936436.8266514152,0.0,0.0,0.0,0.0,0.0
499.6179775280899,419.0,268.8688542773298,134.0,1310.0,862.123595505618,722.0,568.3159198229018,40.0,2146.0,241528.61763279137,128717.8693017704,266083.7094947317,1e-05,948049.9353327522,0.0,0.0,0.0,0.0,0.0
485.8876404494382,409.0,255.79211354703548,132.0,1310.0,823.6179775280899,693.0,569.6729104015285,40.0,2146.0,227843.88799902837,126589.15488304314,258070.58978989665,1e-05,948049.9353327522,0.0,0.0,0.0,0.0,0.0
